Source,Gen_comp
"Yeah speech school, θɪzəkəl@you therapy three times a day.","Yeah, speech school, zkl@you therapy three times a day."
Oh the doctor he says.,Oh the doctor he says.
Go walk again and talk again.,Go walk again and talk again.
Is stroke it is bad.,Is stroke it is bad.
That i got headache and throw up and dɪsəbɑbleɪtɪŋ@you.,That i got a headache and throw up and dsbblet@you.
It is die.,It is die.
I do not know.,I do not know.
Did not think of θɪnθɪŋ@you.,Did not think of n@you.
Unclefirstnamej and no unclefirstnameg firstnamem.,Unclefirstnamej and no unclefirstnameg firstnamem.
I do not know.,I do not know.
He is playing a game.,He is playing a game.
Oh is the broken gas.,Oh is the broken gas.
That is broken.,That is broken.
Uhoh the this window is broken.,Uhoh the window is broken.
The əmɛblə@you is the pouring.,The mbl@you is the pouring.
Əmbɛlə she he plays to him.,mbl she he plays to him.
Uhoh it is doggone rain.,Uhoh it is raining.
His mom is mean.,His mom is mean.
A cat is playing.,A cat is playing with a ball.
It is the window.,It is the window.
A dog barking.,A dog barking.
A man is.,A man is.
No her shoes.,"No, her shoes."
I do not know.,I do not know.
Juicy juice pɪts@you of bread.,Juicy juice pts@you of bread.
Peanut butter and jelly.,Peanut butter and jelly.
Mix it up.,Mix it up.
The bread is cutting.,The bread is cutting.
With the talking yes.,With the talking yes.
It is alright to me thankyou.,It is alright to me thankyou.
I do not know.,I do not know.
It is not right.,It is not right.
Yes no right.,No no no right.
Two thousand seven.,Two thousand seven.
Oh tsɜ˞tɔɹt@you seventeen.,Oh tstt@you are seventeen.
I do not know.,I do not know.
Yes or not yes.,Yes or no no.
Where did it go ?.,Where did it go?.
I know !.,I know!.
Yes and no !.,Yes and no!.
Okay so questions.,Okay so questions.
I did not know.,I did not know.
I do not know.,I do not know.
It is a color.,It is a color.
It is color.,It is a color.
I do not know.,I do not know.
I do not know.,I do not know.
Yes therapy yes.,Yes therapy yes.
Is write p@l.,Is write p@l.
I do not watch.,I do not watch.
It is alright.,It is alright.
I no watch.,I don't watch.
I do not.,I do not know.
I do not.,I do not know.
It is alright.,It is alright.
Yes oh know.,Yes oh know.
Yes alright yes.,Yes alright yes.
This a cook kick.,This is a cook kick.
Yes a kick.,Yes a kick.
Oh a door oh right.,Oh a door oh right.
With the right oh so.,With the right oh so.
Is oh when is a ɑt@you hit.,Is oh when is a t@you hit.
Yes hit yes.,Yes hit yes.
No yes alright.,No no no alright.
It is the bɛlɛts@you yes.,It is the blts@you yes.
The rained rain.,The rain rained down.
A bɛdə is alright.,A bd is all right.
He has a comb.,He has a comb.
Bread red yes.,Bread is red yes.
This gɛtʃ@you gætʃ@you catch.,This gt@you gt@you catch.
With alright is a kitchen catching.,With alright is a kitchen catching.
It is alright yes.,It is alright yes.
Alright yes alright.,Alright yes alright.
I kɑ@you know is right.,I k@you know is right.
Is no problem.,Is no problem.
Yes is and i went to is rent.,Yes is and i went to and i went to is rent.
I did not know is right.,I did not know is right.
I do not want to say.,I do not want to say that.
I do not want to say.,I do not want to say that.
Is i do not want to say.,I do not want to say that.
I do not know it.,I do not know about it.
A prince yes.,A prince yes.
A prince yes.,A prince yes.
Then oh after she met you ɡɛn@you.,Then oh after she met you n@you.
Want to say.,Want to say.
Alright yes alright.,Alright yes alright.
That is alright.,That is all right.
Oh that is alright.,Oh that is alright.
That is alright.,That is all right.
Yes a bread.,Yes a bread.
Is the right.,Is the right.
This right with right.,This right with right.
Uz@you right yes.,Uz@you right yes.
Big biki@you boʊgən@you [ret] butter.,Big biki@you bogn@you [ret] butter.
You eat the bread.,You eat the bread.
Bread and jelly.,Bread and jelly.
Bidɪ@you beetle big bɛktlɔr@you.,Bid@you beetle big bktlr@you.
But my speech is so slow.,But my speech is so slow.
I want to in the brɛn@you but i does not speak clearly.,I want to be in the brn@you but i does not speak clearly.
I says to ththem.,I say to ththem.
It is just like i was not speaking anything.,It is just like i was not speaking anything.
And i had a germans shepherd was want to get out.,And i had a german shepherd was want to get out.
And i said.,And i said.
I get up.,I get up.
I went up.,I went up.
And i went down !.,And i went down!.
It was like ohmygod !.,It was like ohmygod!.
There is something ɔlt@you.,There is something lt@you.
It is like i crawled back my not bed.,It is like i crawled back into my not bed.
And i was like.,And i was like.
And i babysit.,And i babysit.
It is like i can do it.,It is like i can do it.
I will not love.,I will not love.
I there is nothing that i cannot do.,I there is nothing that i cannot do.
Oh that is like.,Oh that is like.
Oh i got that.,Oh i got that.
And her sister is been riəbetʃən@you.,And her sister has been ribetn@you.
She has a nursing home.,She has a nursing home.
The my father has blind.,The my father has gone blind.
And i hafta mow his yard his and clean the house for then.,And i hafta mow his yard his and clean the house for then.
It is like it is been bad.,It is like it has been bad.
And i when i went as home i had babies and babies.,And i when i went as home i had babies and babies.
But the ball was in the living room and crashed out the window.,But the ball was in the living room and smashed out the window.
He saw that on the ball.,He saw that on the ball.
And that went out the window or something there.,And that went out the window or something there.
That is the end.,That is the end.
The mother alright ælbrɛlə@you and said.,The mother said alright lbrl@you and said.
And the little bad said.,And the little bad said.
No i non't.,No i don't.
I do not need an mbɚɛlə@you.,I do not need an mbl@you.
And so there the boil sɑɾɪd@you to the rain and said.,And so there is the boil sd@you to the rain and said.
Ohmygood i my brɛlə@you was there.,Ohmygood i wish my brl@you was there.
And my mother said.,And my mother said.
That is i told you to the umbrella !.,That is what i told you to go to the umbrella!.
You are going to get it.,You are going to get it.
I think he open.,I think he's open.
Some little good he was.,Some little good he was doing.
Then he before the number.,Then he said before the number.
And it she was not any for it was like there.,And it was she was not going to have any for it was like there.
And my cat please ?.,And my cat please?.
And he looked around and he said.,And he looked around and he said.
Oh i am need a letter.,Oh i am going to need a letter.
And he went out.,And he went out.
And he cannot to climb into the branches or something.,And he cannot climb into the branches or something.
There is my dog growling.,There is my dog growling.
And it is trying to eat me.,And it is trying to eat me.
And i am or up the ladder.,And i am going to go up the ladder.
And he had the mother call the fireman.,And he had the mother call the fireman.
And kɛm@you them over.,And km@you have them over.
Caught the color cluttery.,Caught the color cluttery.
Kəlowɪ@you was my gɹænðəgɔtɚ@you.,Klow@you was my gngt@you.
Or did he pass əwɛɾɪ@you.,Or did he pass w@you.
I do not know.,I do not know.
You will get at this and to get up onto them.,You will get up onto them and you will get up onto them.
I am going to lounge around out.,I am going to lounge around out.
You are not going to be anything for me.,You are not going to be anything for me.
And here is the cinderella cleaning and cooking and other things.,And here is the cinderella cleaning and cooking and other things.
And she said.,And she said.
And the said.,And the man said.
Ohmy i can cinderella ?.,Ohmy i can cinderella?.
No not yet.,No not yet.
You say here.,You say here.
We are going to go at the palace and we will sew you.,We are going to go to the palace and we will sew you.
And then we will be the dressed and you will come to everything.,And then we will be the dressed and you will come to everything.
And you be getting at the house here.,And you'll be getting at the house here.
Here the sɛndɚɛlə@you dog and mice and everything else.,Here the sndl@you dog and mice and everything else.
White dress and slipper.,White dress and slipper.
And they are made of glass.,And they are made of glass.
Twelve for at the ball.,Twelve for at the ball.
Here she carriage.,Here she is in the carriage.
And she game up the steps.,And she game up the steps.
And she trɛl@you princecharming.,And she trl@you princecharming.
But then he took its twelve pm.,But then he took it at twelve pm.
Ohmygod we are about to be out this !.,Ohmygod we are about to be out of this!.
Ohmygod i forgot.,Ohmygod i forgot.
But here was princetrɑʊrɪ@you.,But here was princetrr@you.
And she going to hafta say.,And she's gonna hafta say.
And everything was perfect.,And everything was perfect.
Her foot was not in.,Her foot was not in.
And they was prince and cinderella were married.,And they were the prince and cinderella were married.
Yep alright then.,Yep alright then.
You go to the bread.,You go to the bread.
And you count two slices of bread.,And you count two slices of bread.
Slathered up the bread.,Slathered up the bread.
And you jar.,And you put the jar in the fridge.
And you get them spoon.,And you get them a spoon.
One once and one the other.,One once and one the other.
And slip up alright.,And slip up alright.
And then you eat it up.,And then you eat it up.
Up and up believe me.,Up and up believe me.
A long time ago.,A long time ago.
Years and years.,Years and years.
That is fine.,That is fine.
One two three four five six seven years ago.,One two three four five six seven years ago.
Fine and srok@you.,Fine and srok@you.
"Hospital, bad very bad.","Hospital, bad very bad."
Up and up believe me.,Up and up believe me.
"Thankyou, kittycat and.","Thankyou, kittycat and."
Fishing mom and dad books all the time.,Fishing mom and dad read books all the time.
Boy hit up.,Boy hit up.
What is that ?.,What is that?.
Here have one.,Here have one.
Ohmygod pouring and pouring !.,Ohmygod pouring and pouring!.
I said so.,I said so.
The end ?.,The end?.
Ambulance over here.,Ambulance over here.
I am sorry.,I am sorry.
I am none of that.,I am none of that.
I am sorry.,I am sorry.
Me boyfriend and cinderella off.,Me and my boyfriend are going to take cinderella off.
Ohmygoodness timed !.,Ohmygoodness timed!.
I know nothing.,I know nothing.
And boyfriend and girlfriend.,And boyfriend and girlfriend.
I do not know how.,I do not know how to do it.
Peanut butter jelly ?.,Peanut butter and jelly sandwich.
And peanut butter.,And peanut butter.
One more time ?.,One more time?.
And cut it up.,And cut it up.
And the end.,And the end.
What θɔkɪŋ@you alright.,What k@you alright.
What i read a book.,What i read a book.
Mean exercise and walking.,Mean exercise and walking.
And running and swimming.,And running and swimming.
Two thousand seven.,Two thousand seven.
Went to sleep and wake up and.,I went to sleep and woke up and.
What pæɹə˞ɑɪz@you right arm.,What pz@you right arm.
What rehab and better.,What rehab and better.
And arms tɛgz@you.,And arms tgz@you.
And long time.,And long time.
What swi@you feet snow.,What swi@you have feet of snow.
